,EventTemplate
305,ts-consign-price-service GET:/api/v1/consignpriceservice/consignprice/{weight}/{isWithinRegion} end
306,ts-consign-price-service HikariCP/Connection/getConnection start
307,ts-consign-price-service HikariCP/Connection/getConnection end
308,ts-consign-price-service Mysql/JDBI/PreparedStatement/executeQuery start
309,ts-consign-price-service Mysql/JDBI/PreparedStatement/executeQuery end
310,ts-consign-price-service HikariCP/Connection/close start
311,ts-consign-price-service HikariCP/Connection/close end
312,ts-consign-service HikariCP/Connection/getConnection start
313,ts-consign-service HikariCP/Connection/getConnection end
314,ts-consign-service Mysql/JDBI/PreparedStatement/executeQuery start
315,ts-consign-service Mysql/JDBI/PreparedStatement/executeQuery end
316,ts-consign-service Mysql/JDBI/PreparedStatement/executeUpdate start
317,ts-consign-service Mysql/JDBI/PreparedStatement/executeUpdate end
318,ts-consign-service Mysql/JDBI/Connection/commit start
319,ts-consign-service Mysql/JDBI/Connection/commit end
320,ts-consign-service HikariCP/Connection/close start
321,ts-consign-service HikariCP/Connection/close end
322,ts-preserve-service /api/v1/userservice/users/id/<:ORDER ID:> start
323,ts-preserve-service /api/v1/userservice/users/id/<:ORDER ID:> end
